"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"S4R3V8",0.058329,-0.031558,0.07307,0.031959,-0.05686,0.081948,-0.076868,0.049306
"P16278",-0.044859,-0.012235,-0.14182,0.11154,-0.15917,0.12872,-0.066813,-0.03111
"E5RJB8",-0.096572,-0.02609,-0.1462,0.1239,-0.016109,0.074777,-0.059432,0.0043893
"P02749",0.080903,-0.073464,-0.013597,0.0066333,-0.077787,0.011752,0.044989,-0.0012377
"P62820",-0.031515,-0.024667,-0.064134,0.014446,0.085416,-0.016,-0.042262,0.016368
"O00560",-0.012327,0.044954,-0.10242,0.13834,-0.17423,0.058593,-0.10674,0.13724
"P31949",-0.15405,0.040702,0.036167,-0.011663,0.09007,0.051157,-0.03681,0.097156
"P07686",-0.013917,-0.062485,0.10014,0.027912,-0.13552,0.037482,0.020548,-0.057764
"P00491",-0.14661,0.1142,-0.015761,0.064938,-0.010901,0.10116,-0.11452,0.018405
"P27797",0.0053385,0.046416,0.10516,0.10649,-0.12333,0.030799,0.023751,0.067315
"E9PJK1",0.045087,0.039317,-0.18077,0.1398,-0.048475,-0.0027048,0.024716,0.022638
"P84077",-0.035005,0.063324,-0.19308,0.13624,0.047067,-0.06304,0.020537,0.0080961
"P45877",0.018243,0.061506,-0.14306,0.1151,-0.049931,-0.018123,-0.03745,0.093735
"Q8NBJ7",-0.018568,0.039862,-0.15461,0.018702,-0.059966,0.13486,-0.027905,0.0094625
"P0C0L4",0.071659,0.048687,-0.24255,0.10567,-0.0010645,-0.13692,0.11657,0.010325
"Q68D85",-0.033573,-0.038003,-0.1412,0.15502,0.060894,0.052851,-0.043027,-0.021762
"P10643",0.022079,-0.068745,0.10713,0.011209,-0.0847,0.047972,0.07334,0.057043
"P52823",-0.038973,-0.066304,0.13639,-0.0049505,-0.099551,0.086023,0.11774,0.07008
"P02765",0.018892,-0.024694,0.02142,0.018832,-0.040075,0.012259,0.058368,-0.13447
"P63313",-0.090272,0.087506,-0.031005,0.004527,-0.069584,0.03001,0.068371,-0.079057
"P61586",-0.028634,0.047817,0.0030306,-0.073719,-0.023778,0.082531,-0.063646,0.0030877
"P28799",0.050135,-0.077489,0.057446,-0.014004,-0.076436,0.062036,0.041888,-0.15485
"P18669",-0.15973,0.085117,0.0050105,-0.070218,0.023939,-0.0936,0.03685,0.085655
"P04792",-0.19784,0.045702,0.093356,-0.086942,-0.024833,0.011439,0.0045639,-0.086731
"Q9UBI6",-0.064166,-0.028032,0.062205,-0.068155,0.12369,-0.025233,-0.25604,0.12475
"P08603",0.042498,-0.028839,0.061899,0.0022536,-0.034016,-0.0077978,0.078489,-0.16368
"P30101",-0.16892,0.0094545,0.27098,-0.0078562,-0.029586,-0.069938,-0.089113,-0.065208
"Q99538",-0.02095,-0.053661,0.11076,0.024711,-0.18485,0.11129,0.040557,0.21376
"P19827",-0.018071,-0.059379,0.030397,-0.061266,-0.026914,-0.0023754,0.094915,-0.078743
"O00592",-0.038625,0.01097,0.10796,-0.0064548,-0.21935,0.10715,0.079633,-0.13019
"P14625",-0.069144,0.046523,-0.011591,-0.025669,-0.064302,0.06248,0.048999,-0.10506
"P30041",-0.085729,0.10373,-0.12863,0.081864,0.0029404,-0.033097,0.10567,-0.13371
"Q9NZP8",-0.046897,-0.014174,0.095333,-0.012503,-0.17341,0.2342,-0.022578,-0.059806
"P19440",0.056879,0.087218,-0.06101,-0.037707,0.020549,0.082528,-0.14483,-0.017728
"J3KS22",-0.14583,0.032557,0.085157,-0.073142,0.0035393,-0.011307,0.12782,-0.086085
"O94760",-0.12611,0.061018,0.11592,-0.076765,0.046848,0.0097348,0.020252,-0.14548
"P61981",-0.13846,0.067513,0.15595,-0.099121,0.10614,0.018794,-0.051639,-0.038147
"P52209",-0.16949,0.13248,0.0090551,0.03045,-0.079083,0.0037429,0.066118,-0.070888
"P60981",-0.14909,0.13345,-0.094235,-0.0020112,-0.021102,0.077263,0.02381,-0.10166
"P08238",-0.087179,0.090933,0.12154,-0.063957,-0.10319,-0.10321,0.14339,-0.064553
"P26038",-0.1115,0.08351,-0.004382,-0.06637,0.04266,0.058682,-0.072103,0.048716
"P05387",-0.17564,0.086283,-0.024622,0.0041355,-0.0061069,-0.02343,0.029714,-0.024508
"P61026",-0.046598,-0.023261,-0.11445,0.10048,0.010104,0.022204,-0.13731,0.038505
"Q9H0U4",-0.12713,0.028237,-0.0034273,0.040677,0.12163,-0.093339,0.021866,0.069479
"P43652",0.026783,-0.074502,0.0091303,-0.039335,-0.12454,0.15185,-0.093199,0.11152
"P30086",-0.078772,0.099842,-0.056873,-0.027264,0.081058,0.075633,-0.11227,0.010711
"Q9H4G4",-0.038239,-0.023633,-0.11725,0.088241,0.012428,0.061036,-0.15191,0.075011
"P07737",-0.040399,0.13956,-0.12437,0.080117,-0.062202,-0.0059522,-0.029207,0.060563
"Q13228",-0.1121,0.15525,-0.088736,0.0096071,-0.066666,0.10429,-0.070495,0.055087
"P11021",-0.017003,0.08596,-0.12038,0.10682,-0.020921,-0.05732,-0.0062309,0.027783
"Q9UNQ0",-0.15855,-0.067311,0.088726,-0.02403,-0.0012633,0.062395,-0.12951,0.27074
"P21399",-0.13139,0.083594,0.0096409,-0.044925,0.1521,-0.022853,-0.00064467,-0.023055
"Q01459",-0.015426,-0.036087,-0.087064,0.19272,-0.18058,0.03914,-0.055475,0.057419
"O60543",-0.11971,-0.045253,-0.096391,0.10595,-0.09526,0.026078,-0.10028,0.20379
"Q9UHL4",-0.022602,-0.0044838,0.01584,-0.042015,-0.16032,0.15683,-0.038197,0.006504
"P24821",0.093283,0.045083,0.052404,-0.039036,0.053421,-0.018488,-0.14436,0.29441
"A0A0C4DH38",-0.0053294,0.01517,-0.082144,0.0029141,-0.10796,0.056397,0.16544,0.11104
"O00299",-0.082476,0.051978,0.030057,-0.043015,-0.046027,0.15736,-0.10701,-0.050927
"P07858",-0.029946,0.035234,-0.023889,0.17534,-0.24047,0.062558,-0.048084,0.081927
"P09467",-0.18962,0.053313,-0.030009,0.047228,-0.0096446,0.020012,-0.067343,0.10605
"Q9UL46",-0.17515,0.081897,0.031608,-0.026403,0.051752,-0.045413,0.10133,0.091012
"Q15904",0.014908,-0.0091337,-0.089276,0.20237,-0.11169,0.040785,-0.047557,0.062546
"O15232",0.085744,0.068017,0.0010148,-0.028931,-0.042913,0.10677,-0.11602,0.1503
"Q9Y6Y9",-0.0007967,0.0076449,-0.11232,0.13622,-0.17959,0.15235,-0.039009,0.084221
"P12273",-0.063972,0.056746,-0.096649,0.1045,-0.21127,0.18792,-0.070162,0.04216
"P19113",0.0020422,0.046604,-0.061265,0.12558,-0.042898,0.0094666,-0.0264,0.1291
"P31431",-0.0029076,0.014648,-0.037949,0.15495,-0.063313,0.018422,-0.093904,0.086605
"Q8N474",-0.012081,-0.016222,-0.022672,0.031833,-0.08789,0.085484,-0.084171,0.14473
"I3L397",-0.16937,0.10408,-0.054979,-0.0059791,0.10252,-0.049336,0.012281,0.052559
"Q92520",-0.074804,-0.059177,-0.021296,0.10547,-0.1491,0.10159,-0.060618,0.040802
"E9PNW4",0.027921,-0.048487,0.060298,0.018798,-0.036791,-0.0014687,0.053083,-0.13376
"P63000",-0.070718,-0.0063952,-0.015914,-0.064976,-0.028858,0.13567,-0.015081,-0.18199
"P05090",0.021408,-0.031431,0.048721,0.005344,-0.17975,0.051337,0.066028,-0.11664
"P62258",-0.069978,0.12822,-0.0023705,-0.046184,-0.105,0.1494,-0.03913,-0.089905
"Q9NZH0",0.016059,0.0060024,-0.068266,0.099762,-0.0032818,-0.0069124,0.012131,-0.11685
"P08294",0.022955,-0.053486,-0.090574,0.039057,-0.069961,0.14582,-0.12242,0.018261
"O15498",-0.10202,0.057287,0.012718,-0.015155,0.034012,0.1013,-0.050628,-0.033521
"Q9P2X0",0.071229,-0.012018,0.08705,-0.043525,-0.1603,0.11162,0.02779,-0.047946
"P17066",-0.012452,0.0111,0.030059,0.022478,-0.042308,-0.026819,0.049045,-0.08761
"P00441",-0.067431,0.11165,-0.16136,0.027335,-0.042354,0.14407,-0.049921,0.0025523
"P40925",-0.062482,0.1118,0.062527,-0.074619,0.034568,0.033809,-0.070012,-0.14152
"P61019",-0.09407,0.052335,-0.10667,0.092628,-0.10614,0.12567,-0.094088,-0.012051
"Q99519",-0.032899,-0.020774,0.11249,0.11897,-0.30946,0.073748,-0.032839,-0.09915
"P61020",-0.10187,0.062724,-0.11249,0.021583,0.10789,0.058297,-0.089669,0.04294
"Q96FE7",0.025644,0.003585,-0.21157,0.057457,0.043644,0.10269,0.021892,-0.16748
"P58499",0.034662,0.0039234,-0.087019,0.048008,0.049217,-0.0063016,0.039634,-0.12288
"P03950",0.014326,-0.099166,0.022266,0.059337,-0.0065007,0.03327,0.014313,-0.13223
"Q14512",0.021752,-0.046132,-0.029727,0.12683,-0.039343,-0.013263,0.0997,-0.2533
"Q02487",0.010438,0.053138,-0.13041,0.16225,-0.13809,0.00028973,0.0061962,-0.080857
"P62328",-0.14032,0.11282,0.025678,0.072224,0.06324,-0.044704,-0.086556,-0.052288
"P34096",0.0061829,-0.055724,-0.1793,0.11428,0.0047152,-0.021353,0.0092505,-0.044152
"P19875",0.023709,-0.049851,-0.010917,0.052403,-0.042995,0.16949,-0.076783,-0.10217
"Q16651",0.029687,0.083145,-0.019987,0.03221,-0.027745,0.081472,-0.12025,-0.019766
"O00764",-0.18901,0.080117,0.094272,-0.11485,0.11698,-0.038191,0.070612,0.024735
"E9PDQ1",-0.04786,-0.025119,0.038014,0.012005,-0.12946,0.18552,-0.063958,-0.12632
"O14745",-0.10881,0.071277,-0.071709,-0.011495,-0.058842,0.19413,-0.16289,-0.088196
"P30085",-0.20499,0.10212,-0.0037995,0.029365,-0.045527,-0.021532,0.0036001,0.051491
"P32119",-0.11069,0.1135,-0.0070907,-0.00012518,0.0074068,-0.12463,0.098842,-0.027026
