"","coef.mean","1","2","3"
"Q9UL25",25.164,20.191,40.626,14.676
"P04430",25.037,17.25,31.25,26.612
"Q04917",25.013,16.668,31.855,26.516
"P34096",24.92,29.563,7.2444,37.951
"O75083",24.84,26.508,26.622,21.389
"Q9UL46",24.549,12.276,47.239,14.133
"P62805",24.47,22.868,30.002,20.542
"P17858",24.469,24.955,22.038,26.413
"P36578",24.383,28.626,29.706,14.819
"P31946",24.344,26.871,17.978,28.183
"O43490",24.284,26.457,31.454,14.94
"H0YCU0",24.275,28.956,7.3231,36.547
"P02748",24.146,29.344,25.84,17.254
"P11234",24.133,23.157,26.942,22.299
"P30086",24.114,21.755,33.484,17.103
"P31947",24.103,24.411,17.539,30.359
"P01031",24.07,22.471,22.154,27.586
"Q01459",24.048,24.476,15.332,32.337
"P62753",23.995,25.314,31.491,15.179
"P26572",23.992,23.81,29.691,18.476
"P22676",23.989,25.726,15.256,30.984
"F5GZD9",23.978,19.895,29.053,22.986
"P61224",23.961,28.543,19.109,24.232
"P51149",23.915,21.147,24.984,25.614
"P61313",23.906,23.362,18.785,29.572
"P00491",23.853,25.277,25.911,20.37
"P04066",23.8,25.133,18.192,28.075
"Q9UHL4",23.705,20.735,12.173,38.208
"P00352",23.661,19.772,12.744,38.467
"P15924",23.648,20.123,29.103,21.719
"P10643",23.52,19.216,24.92,26.426
"J3KS22",23.495,23.981,28.426,18.077
"O15144",23.416,22.407,27.763,20.078
"P60174",23.356,25.123,15.03,29.916
"P19113",23.292,20.891,31.499,17.485
"Q2I0M4",23.251,23.864,19.395,26.493
"P04003",23.235,26.835,23.953,18.917
"P09467",23.046,22.068,19.78,27.29
"P26038",23.032,27.649,21.713,19.734
"P14923",23.002,22.582,22.631,23.794
"E9PJD9",22.839,16.884,22.359,29.273
"Q6UXI9",22.815,23.475,22.045,22.924
"P62906",22.776,23.724,27.303,17.302
"C9JVB2",22.597,22.943,17.383,27.464
"Q9Y2J8",22.43,25.637,8.7909,32.861
"P43652",22.416,30.162,13.562,23.525
"P81605",22.409,20.728,17.1,29.4
"Q5JR95",22.268,20.346,33.164,13.295
"P07195",22.15,18.463,34.263,13.725
"O60547",22.089,23.089,9.1961,33.982
"P18669",22.084,26.161,18.276,21.814
"P25311",22.033,21.346,26.1,18.652
"E9PJK1",22.006,30.735,12.53,22.754
"P61981",21.917,24.357,13.811,27.583
"P07900",21.908,24.172,12.605,28.947
"P17066",21.812,19.793,18.41,27.233
"P30041",21.807,22.911,25.561,16.948
"P80188",21.709,22.968,36.68,5.4792
"P46777",21.708,21.088,19.839,24.198
"P00568",21.59,24.61,22.58,17.58
"Q15084",21.57,28.174,13.031,23.505
"O00339",21.489,26.533,16.634,21.299
"Q9BY76",21.243,26.499,18.135,19.093
"P33908",21.198,25.127,7.7053,30.763
"P14868",21.164,21.655,32.823,9.0152
"H3BVI7",21.099,26.054,16.28,20.964
"Q15782",21.007,25.484,18.222,19.317
"P19652",20.992,26.437,27.044,9.4953
"P84077",20.964,23.103,16.434,23.354
"Q02790",20.948,19.92,17.249,25.675
"P30043",20.808,24.294,20.816,17.314
"P43490",20.794,16.39,22.694,23.299
"P0C0L4",20.632,16.564,34.51,10.822
"P48637",20.62,20.145,17.573,24.142
"P13639",20.614,16.461,19.757,25.624
"A0A075B7B8",20.585,19.292,19.873,22.589
"P36222",20.536,27.817,7.6591,26.133
"P06702",20.524,25.608,14.629,21.334
"P60866",20.429,23.712,21.333,16.241
"P62937",20.174,18.809,22.886,18.826
"P04271",20.071,27.746,10.567,21.9
"D6RC73",20.006,24.383,2.9888,32.645
"P46781",19.97,19.652,26.96,13.298
"S4R3V8",19.952,19.496,24.177,16.183
"H7C2W9",19.908,17.744,16.073,25.908
"P10316",19.831,12.329,29.813,17.352
"O00300",19.805,22.347,9.5317,27.535
"P15311",19.712,21.829,27.449,9.858
"Q9Y6Y9",19.679,28.929,20.137,9.9703
"Q9BWD1",19.674,18.868,12.954,27.201
"P04745",19.583,23.556,18.087,17.105
"P25398",19.374,13.281,26.82,18.021
"P0C0L5",19.348,17.231,26.386,14.426
"P05154",19.295,18.681,19.42,19.784
"P36871",19.292,20.007,17.635,20.232
"P49006",19.171,16.562,18.004,22.947
"P04217",19.161,18.198,20.732,18.553
"O15145",19.107,22.577,12.284,22.459
"A0A0C4DGN4",18.925,24.209,23.901,8.6651
"A0A0C4DH36",18.864,22.186,19.847,14.557
"Q6UXB2",18.709,23.831,19.346,12.951
"P61020",18.698,20.455,15.854,19.786
"P29762",18.696,18.642,11.313,26.134
"P37837",18.685,17.283,15.782,22.989
"P14625",18.536,23.509,11.91,20.188
"A6NNI4",18.473,22.186,21.245,11.987
"O75355",18.428,20.105,25.298,9.8797
"P02766",18.424,16.165,15.663,23.443
"Q8N474",18.405,15.973,23.543,15.698
"Q96FE7",18.279,23.285,17.863,13.69
"P62266",18.193,19.048,19.031,16.502
"Q8NC51",18.159,21.337,10.375,22.767
"P30085",18.158,19.405,22.032,13.038
"P01859",18.075,18.55,20.976,14.7
"P17900",17.939,23.7,11.857,18.261
"Q02487",17.868,10.015,23.698,19.892
"P04406",17.735,16.592,28.583,8.0303
"O15498",17.699,13.461,31.353,8.2816
"P07741",17.619,16.475,28.096,8.286
"P59666",17.6,16.884,16.116,19.799
"Q06323",17.592,11.72,23.032,18.023
"C9JXB8",17.568,10.02,17.756,24.928
"O75874",17.477,19.94,14.805,17.685
"J3QR09",17.393,19.498,7.7983,24.883
"D3YTB1",17.18,15.104,11.677,24.758
"P62820",17.136,23.487,4.68,23.241
"Q12841",17.072,7.8993,27.191,16.127
"P11216",16.885,18.588,24.237,7.8316
"P61026",16.789,15.077,10.878,24.412
"Q99878",16.773,11.421,27.91,10.989
"P04196",16.771,18.048,5.7177,26.546
"P62269",16.758,15.705,15.074,19.493
"Q6X4U4",16.744,10.856,18.023,21.353
"P50990",16.642,16.599,17.944,15.383
"E9PNW4",16.479,18.137,24.71,6.5902
"Q86SQ4",16.471,13.756,20.341,15.315
"O43175",16.43,14.475,9.6721,25.144
"P12273",16.37,13.132,10.123,25.856
"P34896",16.368,20.687,15.717,12.7
"Q9H0U4",16.347,18.051,16.692,14.298
"O75891",16.289,13.245,20.153,15.469
"Q14624",16.137,13.18,15.414,19.817
"P50991",16.111,15.225,15.294,17.814
"P52823",16.087,9.7115,20.8,17.75
"P11021",16.086,12.994,12.481,22.784
"Q9BXJ1",16.015,15.977,11.407,20.662
"Q8WVC2",15.989,13.488,25.783,8.696
"P51148",15.978,15.68,21.288,10.966
"Q9HB40",15.633,14.349,15.794,16.756
"P01019",15.597,14.091,13.602,19.099
"P21399",15.456,9.9759,18.659,17.734
"P54802",15.265,14.778,17.644,13.373
"A0A075B6I0",15.183,12.328,21.479,11.743
"P62851",15.083,10.485,17.214,17.55
"P28066",14.896,11.823,19.632,13.233
"P22079",14.892,17.507,4.9645,22.204
"P00441",14.788,13.549,10.807,20.006
"A0A0C4DH68",14.761,16.165,13.671,14.445
