ter,1,2,3,fc
Q9Y6Y9,0.002851823,0.001726869,0.000820308,3.476527155
P12273,0.006765217,0.006082078,0.002060485,3.283313524
P19113,0.000743759,0.000447721,0.000233704,3.182480512
P31431,0.003014341,0.002319515,0.001099878,2.740614687
Q8N474,0.00212109,0.001433564,0.000406475,5.218259364
I3L397,0.001443987,0.002299024,0.000587397,2.458279813
Q92520,0.000957923,0.000717459,0.000847557,1.13021728
E9PNW4,0.115165462,0.091773868,0.078831634,1.460904169
P63000,0.00755711,0.005696215,0.003889133,1.943134645
P05090,0.005270221,0.005614543,0.003611894,1.459129356
P62258,0.004854395,0.005624981,0.001894506,2.562353329
Q9NZH0,0.008144495,0.005925377,0.004285299,1.900566197
P08294,0.001814572,0.0012698,0.002299018,0.789281308
O15498,0.001491,0.00147647,0.00075195,1.982845119
Q9P2X0,0.016541917,0.009654691,0.011287116,1.465557491
P17066,0.000701123,0.000585089,0.000309496,2.265371787
P00441,0.009982637,0.013120412,0.004038777,2.471697711
P40925,0.005690775,0.005744182,0.002253419,2.525395484
P61019,0.001399612,0.002210901,0.000649978,2.153322841
Q99519,0.000986031,0.000534057,0.000827027,1.192259066
O60547,0.001086067,0.001072445,0.000200196,5.425032708
Q8NBJ4,0.000707705,0.000656588,0.000145109,4.877060386
P61020,0.000574727,0.000482204,0.000323978,1.773969681
Q96FE7,0.002057154,0.001145433,0.000798028,2.57779743
P58499,0.004051796,0.002634604,0.002211297,1.832316422
P03950,0.004829407,0.002600739,0.005064917,0.953501669
Q14512,0.005828476,0.002642936,0.007171861,0.812686671
Q02487,0.001351674,0.001044816,0.000708959,1.90656204
Q92484,0.000182255,0.000113165,0.000331782,0.549323068
O95436,0.000329555,0.000514496,0.000143003,2.304534113
Q9BWS9,0.000376382,0.000509185,0.000484897,0.776209899
P62328,0.01753682,0.022323201,0.004415418,3.971724156
P34096,0.012895078,0.007898658,0.009411548,1.370133643
P19875,0.008331573,0.005754329,0.004662057,1.787102198
Q16651,0.007611956,0.006314215,0.002472867,3.078190841
O00764,0.002839948,0.002627285,0.00101577,2.7958576
E9PDQ1,0.004913833,0.003645204,0.003929314,1.250557393
O14745,0.002475618,0.003337939,0.001598045,1.549154341
P30085,0.00271547,0.003588942,0.000922662,2.943081794
P32119,0.002706497,0.003584333,0.001040071,2.602222808
O75083,0.001442414,0.001910937,0.000367675,3.92306889
P61313,0.001263603,0.002342037,0.000170226,7.423086068
Q9UL25,0.000587504,0.000662025,0.00021047,2.791390223
P14618,0.002061325,0.002217801,0.000387353,5.321572255
A0A087WWU8,0.000599686,0.001187698,0.000285915,2.097424302
Q04917,0.001257138,0.001274874,0.000507976,2.474795864
P20339,0.000672393,0.000781028,0.000347018,1.937630553
P62701,0.001577247,0.001900195,0.000304093,5.186732245
O15145,0.000456242,0.000706196,0.000139147,3.278849303
A0A075B7B8,0.004872591,0.004144459,0.002893573,1.68393565
Q9NV23,0.004055784,0.004869876,0.00173779,2.333874452
X6R3G6,0.003441527,0.005072788,0.00229745,1.497976584
Q15843,0.001086544,0.00067427,0.000391811,2.77313199
P30044,0.00207088,0.002228631,0.000911128,2.272874616
P62269,0.003085113,0.002730821,0.00060153,5.128777861
Q16555,0.002748279,0.002891549,0.001005707,2.732682977
Q06323,0.002012488,0.002396635,0.00037424,5.377537232
Q5JR95,0.00187086,0.003004062,0.000412927,4.530722739
Q15181,0.002258004,0.002606431,0.000713411,3.165081492
O75891,0.001454233,0.001610528,0.000380586,3.821031771
Q06210,0.001112514,0.001299287,0.000290389,3.831115226
P26373,0.001667908,0.002039396,0.000350844,4.753992631
P42330,0.001294843,0.001535506,0.000436614,2.965647193
X1WI28,0.002003797,0.002853593,0.000459773,4.358231798
C9J9K3,0.001707077,0.003120139,0.00043755,3.901448708
Q99536,0.000363203,0.000515388,0.000282784,1.284383598
Q15365,0.000769475,0.0010196,0.00015788,4.873781702
O75954,0.000675823,0.000654676,0.000420479,1.60726963
Q86SQ4,0.000293939,0.000304023,0.000163321,1.799762012
Q9Y5P6,0.000857054,0.00077441,9.06E-05,9.456807944
P40429,0.00073707,0.000680419,0.000104017,7.086085236
O75355,0.00036029,0.000325453,0.000229758,1.568123712
P23396,0.001036835,0.001474384,0.000168154,6.165985352
P22314,0.00028866,0.000384891,3.42E-05,8.435665166
Q8WUM4,0.000268073,0.000296887,0.000123562,2.169539145
P14324,0.002162083,0.00227944,0.00052166,4.144617636
P34896,0.000915934,0.001219542,0.000353227,2.593046219
P23381,0.013149824,0.004936309,0.002852242,4.610345767
Q9HBR0,8.24E-05,3.77E-05,8.21E-05,1.00316796
A0A075B6I0,0.005233796,0.003283559,0.00454243,1.152201817
P04430,0.003618861,0.00269081,0.003422942,1.057236969
P49006,0.003119678,0.002172515,0.001802058,1.73117532
P23083,0.003157522,0.00215466,0.001919824,1.644692987
Q14914,0.000307628,0.000637666,0.000181681,1.693236313
P24298,0.000533216,0.000527778,9.33E-05,5.712248506
P28066,0.001107317,0.001470801,0.000278386,3.977630271
P61088,0.000731779,0.001019276,0.000330817,2.212033449
P22676,0.000728771,0.000655647,0.000179392,4.062448199
Q9BWD1,0.001906131,0.002373011,0.000461024,4.13455694
Q9NR19,0.000597468,0.000656658,0.000141404,4.225248052
P26641,0.000633528,0.001111395,0.000191277,3.312098577
B1AKG0,0.000482475,0.000253464,8.88E-05,5.435920357
C9JXB8,0.000770704,0.000981881,4.18E-06,184.20495
P39019,0.001053406,0.00103993,0.000373278,2.822044594
Q6UXA7,0.002162951,0.002285166,0.003679539,0.587832066
P00352,0.00064785,0.000565793,9.10E-05,7.122792201
Q02878,0.001334121,0.002107907,0.000105122,12.6911243
P39023,0.000871443,0.001291364,9.69E-05,8.989571069
P55072,0.00081495,0.001044072,0.000163539,4.983227685
P11216,0.000356837,0.000476316,8.33E-05,4.283573145
Q8N392,0.000159998,9.17E-05,8.75E-05,1.828044811
Q99650,0.000110686,8.97E-05,5.92E-05,1.868402068
Q96MK3,5.74E-05,5.23E-05,6.33E-05,0.906856099
Q8WVC2,0.001806491,0.001423576,0.000282038,6.405135313
P04233,0.00073347,0.000316141,7.47E-05,9.824544063
P61160,0.000363917,0.000472977,6.65E-05,5.474761147
P51884,0.000497437,0.000216276,0.000589623,0.843653688
Q15782,0.001103042,0.000756061,0.000203745,5.413827758
O14672,0.000218698,0.000118544,0.000295309,0.740572628
Q9Y2S2,0.000249356,0.000227208,7.61E-05,3.27478233
P00568,0.000525484,0.000553089,0.00019394,2.70951688
P98082,8.88E-05,5.28E-05,1.87E-05,4.755757478
Q96TA1,4.04E-05,6.13E-05,4.87E-06,8.28629213
P07195,0.015145494,0.01788557,0.005872843,2.578903317
P36578,0.00188809,0.002422732,0.000407741,4.63061282
Q9NZ08,0.000165208,0.000177822,7.50E-05,2.202776643
P81605,0.018325136,0.019783834,0.012734857,1.438974694
P07741,0.001419342,0.001566828,0.000472756,3.002269446
Q9Y646,0.000935054,0.000611802,0.001010681,0.925171405
Q9BXJ1,0.001402825,0.001231967,0.001084816,1.293144847
Q5JP53,0.000888316,0.001514133,0.000394695,2.25063755
P27348,0.000668111,0.000949267,0.000123959,5.389772387
Q01518,0.000767113,0.001331223,0.000139939,5.481759645
P05546,0.000183734,0.000165773,0.000223707,0.821315095
P46940,9.50E-05,0.000186668,1.17E-05,8.117957355
P50990,0.000445335,0.000571459,3.95E-05,11.27665529
P69905,0.011705042,0.020172582,0.029011264,0.403465422
P68871,0.009972622,0.014147166,0.025428694,0.392179857
Q9NR45,0.000653971,0.000937651,0.000189208,3.456371277
P29622,0.000193718,0.000213564,0.000194096,0.998051559
P06312,0.002954487,0.003130331,0.001092027,2.705507236
P60022,0.008280109,0.003961144,0.00127661,6.486014457
E7EPB3,0.00188654,0.001973509,0.000449026,4.201402286
Q9H772,0.001329483,0.001268901,0.001211872,1.097049672
P36222,0.004996042,0.002784466,0.00155263,3.217794032
Q14195,0.003897089,0.003810326,0.000997931,3.905170341
P46777,0.001854144,0.002516575,0.000164458,11.27429765
P62805,0.004911316,0.006235766,0.003346241,1.467711224
Q03167,0.000184096,0.000174618,9.31E-05,1.97827839
P15924,0.000257433,5.02E-05,0.000128621,2.001496037
P20827,0.001727406,0.000442899,0.000601635,2.871183014
P04271,0.000553365,0.00034024,0.000274043,2.019260211
H3BVI7,0.002312253,0.001353428,0.001330448,1.737950757
F8WBR5,0.001232655,0.001585195,0.000469313,2.626509015
A0A0C4DH68,0.004025164,0.003260503,0.003841829,1.047720683
E9PJD9,0.001748664,0.001466585,0.000228247,7.661272125
P0DJI8,0.003095534,0.001727161,0.004386323,0.70572424
