sample,group,DSLNT,LNnH,LNDFH11,LSTA,LSTB,LSTC,LNFP ¢ó,LNFP¢ñ,3SL,6SL,3FL,2FL
382,0,1147.24,2.23,212.85,70.35,83.57,101.61,59.63,564.88,329.88,128.09,127.11,882.52
389,0,19852.43,8.06,11214.55,65.64,398.4,119.69,2516.76,745.36,1342.85,10601.36,1383.59,1343.96
394,0,5789.79,7.54,577.8,72.53,118.13,104.36,368.91,477.69,799.09,505.97,1670.18,2393.62
399,0,8215.98,14.81,930.42,114.61,117.25,105.93,1534.38,471.97,1162.31,1928.39,1519.49,695.66
344,0,12287.05,5.41,2429.55,82.97,240.29,110.97,331.48,678.7,957.37,5418.21,1172.52,2793.4
350,0,14988.44,19.98,3998.69,78.72,299.4,113.44,1007.94,1008.91,1188.51,4861.89,1423.46,2968.29
357,0,31412.95,10.57,10530.24,106.57,486.85,119.08,1497.68,954.76,2038,9976.97,1780.4,3389.7
717,0,34275.66,30.2,24916.08,89.64,736.83,112.46,2610.74,972.3,937.64,12373.49,1487.56,1771.09
719,0,15954.28,8.59,4498.47,98.03,255.49,118.4,144.47,902.44,955.65,12893.42,185.22,3783.33
759,0,13132.69,5.14,2576.35,95.08,447.57,114.74,497.07,727.88,1387.13,4599.19,1154.91,2873.25
663,0,10655.88,4.59,1493.31,87.6,209.52,108.63,197.96,796.19,647.3,1998.22,1427.38,3267.57
667,0,9256.68,4.37,1612.76,81.66,307.46,111.25,2383.64,843.11,674.99,1643.17,1477.05,1198.91
601,0,13752.68,6.55,2317.96,92.15,419.59,102.8,442.52,699.53,1384.1,4626.26,1181.17,3092.46
638,0,6189.41,4.81,921.33,74.25,394.39,106.95,74.26,854.97,574.38,927.67,122.67,3060.39
736,0,7495.82,8.06,3927.71,142.2,1954.96,117.62,938.94,1010.46,844.97,12163.27,1441.81,3602.11
770,0,26023.87,5.68,4678.93,97.21,348.26,113.45,1108.91,1241.81,1004.69,5265.96,1645.26,3662.8
729,0,11734.54,4.86,2223.47,77.37,168.84,110.87,301.67,733.05,1056.9,4081.56,1614.38,3629.29
767,0,34671.07,7.47,3141.22,113.33,344.2,112.51,2199.84,831.77,1036.86,4483.72,1665.34,3339.53
699,0,13556.56,9.16,2111.63,81.05,341.83,111.24,482.81,803.68,7709.08,3489.27,1286.94,3083.53
762,0,8201.22,7.52,1790.12,79.83,194.45,107.17,373.45,865.24,1064.72,1763.75,1332.8,3286.34
635,0,25749.73,13.9,2558.83,102.08,274.3,110.1,1972.28,859.08,1135.72,2253.82,1689.12,3158.5
665,0,2369.3,3.18,427.05,70.97,69.87,103.88,110.66,159.4,396.11,492.09,1141.62,1644.71
720,0,13994.14,2.23,1078.19,127.84,217.18,104.99,2522.7,347.91,726.25,844.26,1537.34,1301.63
1640,0,9963.14,11.34,594.1,88.76,174.64,128.69,502.9,477.86,151.1,424.37,242.96,802.94
1637,0,9381.11,8.88,720.94,88.34,242.84,103.03,140.67,285.52,38.39,427.74,521.36,655.46
1661,0,6765.12,10.79,1318.58,98.18,272.28,185.45,128.34,233.27,115.89,2055.46,580.69,613.35
1594,0,14170.22,21.64,1425.87,102.08,266.78,248.47,404.66,337.79,348.3,3041.43,371.78,967.09
1537,0,5733.91,45.73,2049.04,111.42,271.86,303.42,111.75,237.35,262.98,3605,507.31,710
1603,0,272.08,2.66,117.35,67.07,52.98,102.53,58.22,57.24,71.05,54.83,231.93,344.5
1632,0,662.21,2.95,205.24,73.17,71.76,112.16,78.85,85.98,170.8,65.81,243.71,730.99
1559,0,341.67,2.68,158.48,71.32,60.11,104.56,56.62,54.14,50.86,40.34,139.33,263.59
1695,0,13767.44,5.14,840.43,87.4,212.51,153.61,409.01,440.4,1074.08,3609.9,404.23,871.33
1677,0,6269.55,58.93,927.84,91.35,252.47,155.45,354.65,342.29,347.29,816.09,286.1,1064.21
1586,0,6650.19,26.43,125.87,107.65,246.6,139,337.98,439.81,236.05,941.35,285.23,784.74
1681,0,6267.44,12.01,146.42,88.3,279.09,173.41,392.23,504.46,190.03,375.41,263.27,658.89
1525,0,1445.63,9.31,125.52,69.37,87.46,108.78,165.04,175.24,158.67,155.26,323.77,658.55
1589,0,4476.21,7.37,150.52,98.76,315.67,231.83,1377.79,317.43,277.8,1149.62,385.1,544.59
1643,0,4350.53,4.99,513.37,79.3,135.93,133.98,191.08,325.93,377.26,1144.73,427.13,1114.38
1652,0,4531.6,105.82,2048.26,215.21,629.14,115.18,301.52,392.97,460.24,2960.54,268.17,908.58
1686,0,12178.95,3.4,342.74,71.55,141.47,102.41,226.41,203.4,664.04,406.79,669,654.97
1645,0,596.84,2.83,208.96,68.73,68.55,110.52,79.16,104.98,134.29,176.39,331.07,585.88
1503,0,2704.6,7.52,348.38,94.32,324.98,133.84,128.97,221.92,359.47,379.9,462.45,830.86
1502,0,84.39,3.52,132.95,66.22,54.82,107.25,97.96,52.64,54.42,17.99,143.01,249.92
1675,0,7107.8,27.39,132.3,90.85,191.71,106.64,469.21,436.3,378.17,261.41,305.4,796.24
1679,0,4364.23,5.73,140.52,89.96,205.69,165.29,150.4,239.07,222.43,1473.7,592.17,525.45
